danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name,primary_artist
0.431,0.34,0,-9.384,1,0.0311,0.794,0.0108,0.12,0.0529,119.877,audio_features,5U1OEoEW4xnalSAToamwZL,spotify:track:5U1OEoEW4xnalSAToamwZL,https://api.spotify.com/v1/tracks/5U1OEoEW4xnalSAToamwZL,https://api.spotify.com/v1/audio-analysis/5U1OEoEW4xnalSAToamwZL,285051,4,Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey
0.746,0.497,10,-8.313,1,0.227,0.511,2.2e-5,0.0988,0.169,93.971,audio_features,0OoNzMdPSgbkM5MkcuEZfm,spotify:track:0OoNzMdPSgbkM5MkcuEZfm,https://api.spotify.com/v1/tracks/0OoNzMdPSgbkM5MkcuEZfm,https://api.spotify.com/v1/audio-analysis/0OoNzMdPSgbkM5MkcuEZfm,174707,4,Lock On Me (with Travis Scott & Future),Metro Boomin
0.691,0.534,9,-13.298,0,0.0324,0.228,0.00827,0.0986,0.774,139.958,audio_features,3RSnbJiWwd3hP4d7T5D0w5,spotify:track:3RSnbJiWwd3hP4d7T5D0w5,https://api.spotify.com/v1/tracks/3RSnbJiWwd3hP4d7T5D0w5,https://api.spotify.com/v1/audio-analysis/3RSnbJiWwd3hP4d7T5D0w5,199500,4,02:00 AM,Sarah Crean
0.671,0.658,2,-5.567,1,0.309,0.189,8.66e-5,0.147,0.257,87.933,audio_features,4WuOWVnAqvEQxgSRrspBgt,spotify:track:4WuOWVnAqvEQxgSRrspBgt,https://api.spotify.com/v1/tracks/4WuOWVnAqvEQxgSRrspBgt,https://api.spotify.com/v1/audio-analysis/4WuOWVnAqvEQxgSRrspBgt,207307,4,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin
0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-6,0.194,0.492,116.622,audio_features,0vjeOZ3Ft5jvAi9SBFJm1j,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/tracks/0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/audio-analysis/0vjeOZ3Ft5jvAi9SBFJm1j,182667,4,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin
0.825,0.78,11,-3.705,0,0.142,0.0923,7.96e-5,0.361,0.379,111.004,audio_features,31De8hk4QgDsbS26w06h21,spotify:track:31De8hk4QgDsbS26w06h21,https://api.spotify.com/v1/tracks/31De8hk4QgDsbS26w06h21,https://api.spotify.com/v1/audio-analysis/31De8hk4QgDsbS26w06h21,222000,4,Umbrella (with 21 Savage & Young Nudy),Metro Boomin
0.834,0.58,4,-7.035,0,0.0596,0.0707,0.00184,0.641,0.291,111.975,audio_features,6SeNRCX36QFj0nm89vTDxZ,spotify:track:6SeNRCX36QFj0nm89vTDxZ,https://api.spotify.com/v1/tracks/6SeNRCX36QFj0nm89vTDxZ,https://api.spotify.com/v1/audio-analysis/6SeNRCX36QFj0nm89vTDxZ,167400,4,All The Money (with Gunna) [Bonus],Metro Boomin
0.49,0.779,5,-5.938,0,0.317,0.092,0,0.319,0.4,177.944,audio_features,27RDADqLHPALTugdGEyGtG,spotify:track:27RDADqLHPALTugdGEyGtG,https://api.spotify.com/v1/tracks/27RDADqLHPALTugdGEyGtG,https://api.spotify.com/v1/audio-analysis/27RDADqLHPALTugdGEyGtG,189427,3,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff),Metro Boomin
0.713,0.611,1,-5.993,0,0.0507,0.361,0,0.0803,0.173,97.936,audio_features,64BuLY7ggczC17w5LSUlSE,spotify:track:64BuLY7ggczC17w5LSUlSE,https://api.spotify.com/v1/tracks/64BuLY7ggczC17w5LSUlSE,https://api.spotify.com/v1/audio-analysis/64BuLY7ggczC17w5LSUlSE,221520,4,Creepin' (with The Weeknd & 21 Savage),Metro Boomin
0.543,0.525,5,-8.714,0,0.277,0.148,3.94e-4,0.213,0.184,151.267,audio_features,639ue9j47l2tnsXBdkKN0T,spotify:track:639ue9j47l2tnsXBdkKN0T,https://api.spotify.com/v1/tracks/639ue9j47l2tnsXBdkKN0T,https://api.spotify.com/v1/audio-analysis/639ue9j47l2tnsXBdkKN0T,310960,4,Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],Metro Boomin
0.502,0.641,1,-6.271,1,0.467,0.269,5.01e-6,0.197,0.212,75.008,audio_features,16jl1W58vcK8Jd5ZGbvd5f,spotify:track:16jl1W58vcK8Jd5ZGbvd5f,https://api.spotify.com/v1/tracks/16jl1W58vcK8Jd5ZGbvd5f,https://api.spotify.com/v1/audio-analysis/16jl1W58vcK8Jd5ZGbvd5f,268667,4,"Pro Freak (with Doechii, Fatman Scoop)",Smino
0.768,0.626,7,-6.516,1,0.125,0.215,2.63e-5,0.144,0.551,147.77,audio_features,078lbDGGTqBuTKU3bypXxQ,spotify:track:078lbDGGTqBuTKU3bypXxQ,https://api.spotify.com/v1/tracks/078lbDGGTqBuTKU3bypXxQ,https://api.spotify.com/v1/audio-analysis/078lbDGGTqBuTKU3bypXxQ,208270,4,90 Proof (with J. Cole),Smino
0.918,0.517,2,-7.085,1,0.156,0.0365,0,0.0998,0.158,131.983,audio_features,5no1uAP51SFQzZqITUxsfG,spotify:track:5no1uAP51SFQzZqITUxsfG,https://api.spotify.com/v1/tracks/5no1uAP51SFQzZqITUxsfG,https://api.spotify.com/v1/audio-analysis/5no1uAP51SFQzZqITUxsfG,102873,4,6000 Degrees (AH HA),$hyfromdatre
0.823,0.768,11,-6.21,1,0.0819,0.0146,1.03e-6,0.127,0.216,115.021,audio_features,3SEd8nPd8MpGwk6ZZ8tk2j,spotify:track:3SEd8nPd8MpGwk6ZZ8tk2j,https://api.spotify.com/v1/tracks/3SEd8nPd8MpGwk6ZZ8tk2j,https://api.spotify.com/v1/audio-analysis/3SEd8nPd8MpGwk6ZZ8tk2j,274320,4,Mamacita (feat. Rich Homie Quan & Young Thug),Travis Scott
0.824,0.667,10,-6.603,0,0.0814,0.00321,2.65e-6,0.0956,0.305,82.037,audio_features,6egtB3hmrBOqVol9cU6rge,spotify:track:6egtB3hmrBOqVol9cU6rge,https://api.spotify.com/v1/tracks/6egtB3hmrBOqVol9cU6rge,https://api.spotify.com/v1/audio-analysis/6egtB3hmrBOqVol9cU6rge,207933,4,FOR A NUT (feat. Gunna & Young Thug),Future
0.883,0.657,8,-5.748,1,0.305,0.0603,0,0.128,0.284,124.992,audio_features,1qMMYpVatbRITKCfq1gasi,spotify:track:1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/tracks/1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/audio-analysis/1qMMYpVatbRITKCfq1gasi,172933,4,PUFFIN ON ZOOTIEZ,Future
0.652,0.578,0,-6.187,1,0.161,0.00861,0,0.285,0.195,87.395,audio_features,4Ew8VKrbgrjCt9r2AuItFm,spotify:track:4Ew8VKrbgrjCt9r2AuItFm,https://api.spotify.com/v1/tracks/4Ew8VKrbgrjCt9r2AuItFm,https://api.spotify.com/v1/audio-analysis/4Ew8VKrbgrjCt9r2AuItFm,207213,4,KEEP IT BURNIN (feat. Kanye West),Future
0.851,0.819,7,-5.173,1,0.212,0.337,1.53e-4,0.0658,0.903,83.154,audio_features,5unjCay0kUjuej5ebn4nS4,spotify:track:5unjCay0kUjuej5ebn4nS4,https://api.spotify.com/v1/tracks/5unjCay0kUjuej5ebn4nS4,https://api.spotify.com/v1/audio-analysis/5unjCay0kUjuej5ebn4nS4,164041,3,Down In Atlanta,Pharrell Williams
0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-6,0.528,0.268,79.928,audio_features,3k3NWokhRRkEPhCzPmV8TW,spotify:track:3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/tracks/3k3NWokhRRkEPhCzPmV8TW,https://api.spotify.com/v1/audio-analysis/3k3NWokhRRkEPhCzPmV8TW,258299,4,Ojitos Lindos,Bad Bunny
0.736,0.737,7,-7.726,1,0.0437,0.0732,0.631,0.109,0.534,145.006,audio_features,3UdquFlgsSBKueNRHgjOiG,spotify:track:3UdquFlgsSBKueNRHgjOiG,https://api.spotify.com/v1/tracks/3UdquFlgsSBKueNRHgjOiG,https://api.spotify.com/v1/audio-analysis/3UdquFlgsSBKueNRHgjOiG,240600,4,MAN ON THE MOON,BROCKHAMPTON
0.699,0.713,11,-7.129,1,0.192,0.0953,0,0.224,0.75,83.085,audio_features,1sNBHeUSm0zmol4taxYhzY,spotify:track:1sNBHeUSm0zmol4taxYhzY,https://api.spotify.com/v1/tracks/1sNBHeUSm0zmol4taxYhzY,https://api.spotify.com/v1/audio-analysis/1sNBHeUSm0zmol4taxYhzY,117333,4,KEEP IT SOUTHERN,BROCKHAMPTON
0.809,0.557,6,-9.645,0,0.247,0.175,4.41e-6,0.122,0.734,158.048,audio_features,4Cy0RmJ3wVnlfdDlzqoZ1H,spotify:track:4Cy0RmJ3wVnlfdDlzqoZ1H,https://api.spotify.com/v1/tracks/4Cy0RmJ3wVnlfdDlzqoZ1H,https://api.spotify.com/v1/audio-analysis/4Cy0RmJ3wVnlfdDlzqoZ1H,198293,4,NEW SHOES,BROCKHAMPTON
0.632,0.714,1,-8.924,0,0.063,0.118,0.926,0.12,0.313,159.938,audio_features,2CxjDTsUBmVlcMjjy2UETJ,spotify:track:2CxjDTsUBmVlcMjjy2UETJ,https://api.spotify.com/v1/tracks/2CxjDTsUBmVlcMjjy2UETJ,https://api.spotify.com/v1/audio-analysis/2CxjDTsUBmVlcMjjy2UETJ,157944,4,ULTRA VIOLET,Thouxanbanfauni
0.644,0.671,11,-5.156,0,0.315,0.0225,0,0.0855,0.563,132.001,audio_features,5vhrsx08dHh2QcVh1Rsiwt,spotify:track:5vhrsx08dHh2QcVh1Rsiwt,https://api.spotify.com/v1/tracks/5vhrsx08dHh2QcVh1Rsiwt,https://api.spotify.com/v1/audio-analysis/5vhrsx08dHh2QcVh1Rsiwt,250723,4,LONDON (feat. J. Cole),BIA
0.378,0.196,0,-12.5,1,0.0561,0.842,2.76e-5,0.105,0.0995,119.037,audio_features,7BpykYGkewMF00FzSJLSgH,spotify:track:7BpykYGkewMF00FzSJLSgH,https://api.spotify.com/v1/tracks/7BpykYGkewMF00FzSJLSgH,https://api.spotify.com/v1/audio-analysis/7BpykYGkewMF00FzSJLSgH,224947,5,home with you,FKA twigs
0.766,0.571,4,-9.764,1,0.0385,0.43,0.135,0.142,0.716,93.075,audio_features,5MnLof1o5Wu4hX5zWgMjZY,spotify:track:5MnLof1o5Wu4hX5zWgMjZY,https://api.spotify.com/v1/tracks/5MnLof1o5Wu4hX5zWgMjZY,https://api.spotify.com/v1/audio-analysis/5MnLof1o5Wu4hX5zWgMjZY,149423,4,Wasted,Tomberlin
